Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
14/10/95,Blackburn,Newcastle,1,1,D,0,1,A,R Jones,,,,,,,,,,,,
14/10/95,Leeds,Blackburn,2,0,H,0,0,D,T Riley,,,,,,,,,,,,
14/10/95,Man United,Bolton,3,0,H,2,0,H,J Kelly,,,,,,,,,,,,
14/10/95,Middlesbrough,Man City,2,0,H,2,0,H,A Baker,,,,,,,,,,,,
14/10/95,QPR,Arsenal,1,1,D,1,1,D,K Winter,,,,,,,,,,,,
14/10/95,Sheffield Weds,Coventry,3,3,D,1,1,D,S Lodge,,,,,,,,,,,,
14/10/95,Tottenham,Nott'm Forest,2,1,H,1,1,D,P Jones,,,,,,,,,,,,
14/10/95,West Ham,Aston Villa,1,1,D,1,0,H,L Stevens,,,,,,,,,,,,
14/10/95,Wimbledon,Liverpool,1,0,H,1,0,H,C Cooper,,,,,,,,,,,,
21/10/95,Aston Villa,Middlesbrough,3,1,H,1,1,D,D Smith,,,,,,,,,,,,
21/10/95,Blackburn,Sheffield Weds,2,0,H,1,0,H,N Graham,,,,,,,,,,,,
21/10/95,Bolton,West Ham,3,3,D,2,1,H,S Dunn,,,,,,,,,,,,
21/10/95,Chelsea,Man United,1,1,D,1,1,D,R Styles,,,,,,,,,,,,
21/10/95,Coventry,Wimbledon,0,0,D,0,0,D,P Walton,,,,,,,,,,,,
21/10/95,Everton,QPR,2,0,H,1,0,H,M Dean,,,,,,,,,,,,
21/10/95,Leeds,Newcastle,2,1,H,1,0,H,S Wicks,,,,,,,,,,,,
21/10/95,Liverpool,Tottenham,0,0,D,0,0,D,M Riley,,,,,,,,,,,,
21/10/95,Man City,Arsenal,1,0,H,1,0,H,P Durkin,,,,,,,,,,,,
21/10/95,Nott'm Forest,Southampton,0,0,D,0,0,D,D Elleray,,,,,,,,,,,,
28/10/95,Arsenal,Everton,2,0,H,1,0,H,G Hall,,,,,,,,,,,,
28/10/95,Chelsea,West Ham,2,2,D,1,1,D,R Jones,,,,,,,,,,,,
28/10/95,Middlesbrough,Bolton,0,0,D,0,0,D,T Riley,,,,,,,,,,,,
28/10/95,Newcastle,Coventry,2,1,H,2,0,H,J Kelly,,,,,,,,,,,,
28/10/95,QPR,Man United,1,1,D,0,1,A,A Baker,,,,,,,,,,,,
28/10/95,Sheffield Weds,Liverpool,0,0,D,0,0,D,K Winter,,,,,,,,,,,,
28/10/95,Southampton,Blackburn,1,2,A,1,1,D,S Lodge,,,,,,,,,,,,
28/10/95,Tottenham,Man City,1,1,D,0,1,A,P Jones,,,,,,,,,,,,
28/10/95,Wimbledon,Aston Villa,3,0,H,1,0,H,L Stevens,,,,,,,,,,,,
29/10/95,Nott'm Forest,Leeds,1,0,H,0,0,D,C Cooper,,,,,,,,,,,,
04/11/95,Aston Villa,Arsenal,3,1,H,1,1,D,D Smith,,,,,,,,,,,,
04/11/95,Blackburn,Everton,1,1,D,1,0,H,N Graham,,,,,,,,,,,,
04/11/95,Coventry,Nott'm Forest,1,1,D,1,0,H,S Dunn,,,,,,,,,,,,
04/11/95,Leeds,Chelsea,1,0,H,1,0,H,R Styles,,,,,,,,,,,,
04/11/95,Liverpool,Southampton,1,1,D,0,0,D,P Walton,,,,,,,,,,,,
04/11/95,Man City,Sheffield Weds,1,1,D,0,1,A,M Dean,,,,,,,,,,,,
04/11/95,Man United,Newcastle,2,0,H,0,0,D,S Wicks,,,,,,,,,,,,
04/11/95,West Ham,Middlesbrough,2,1,H,1,1,D,M Riley,,,,,,,,,,,,
04/11/95,Wimbledon,QPR,2,0,H,1,0,H,P Durkin,,,,,,,,,,,,
05/11/95,Bolton,Tottenham,1,0,H,1,0,H,D Elleray,,,,,,,,,,,,
18/11/95,Arsenal,Southampton,4,2,H,2,0,H,G Hall,,,,,,,,,,,,
18/11/95,Chelsea,Blackburn,2,3,A,0,2,A,R Jones,,,,,,,,,,,,
18/11/95,Coventry,Aston Villa,0,0,D,0,0,D,T Riley,,,,,,,,,,,,
18/11/95,Everton,West Ham,0,0,D,0,0,D,J Kelly,,,,,,,,,,,,
18/11/95,Liverpool,Man City,4,0,H,1,0,H,A Baker,,,,,,,,,,,,
18/11/95,Middlesbrough,Leeds,2,3,A,1,1,D,K Winter,,,,,,,,,,,,
18/11/95,Newcastle,Bolton,1,0,H,1,0,H,S Lodge,,,,,,,,,,,,
18/11/95,Nott'm Forest,Man United,1,1,D,1,0,H,P Jones,,,,,,,,,,,,
18/11/95,QPR,Sheffield Weds,2,1,H,1,1,D,L Stevens,,,,,,,,,,,,
18/11/95,Tottenham,Wimbledon,3,0,H,1,0,H,C Cooper,,,,,,,,,,,,
25/11/95,Aston Villa,Nott'm Forest,1,1,D,1,1,D,D Smith,,,,,,,,,,,,
25/11/95,Blackburn,Coventry,5,1,H,4,1,H,N Graham,,,,,,,,,,,,
25/11/95,Bolton,Liverpool,0,0,D,0,0,D,S Dunn,,,,,,,,,,,,
25/11/95,Leeds,Chelsea,1,0,H,1,0,H,R Styles,,,,,,,,,,,,
25/11/95,Man City,Blackburn,1,2,A,0,0,D,P Walton,,,,,,,,,,,,
25/11/95,Man United,Arsenal,1,0,H,0,0,D,M Dean,,,,,,,,,,,,
25/11/95,Sheffield Weds,West Ham,1,0,H,0,0,D,S Wicks,,,,,,,,,,,,
25/11/95,Southampton,Everton,1,0,H,1,0,H,M Riley,,,,,,,,,,,,
25/11/95,Tottenham,QPR,2,0,H,1,0,H,P Durkin,,,,,,,,,,,,
26/11/95,Wimbledon,Middlesbrough,1,0,H,1,0,H,D Elleray,,,,,,,,,,,,
02/12/95,Arsenal,Tottenham,2,1,H,1,1,D,G Hall,,,,,,,,,,,,
02/12/95,Chelsea,Blackburn,3,2,H,1,1,D,R Jones,,,,,,,,,,,,
02/12/95,Coventry,Sheffield Weds,1,1,D,1,0,H,T Riley,,,,,,,,,,,,
02/12/95,Everton,Man United,2,3,A,2,2,D,J Kelly,,,,,,,,,,,,
02/12/95,Liverpool,Middlesbrough,0,0,D,0,0,D,A Baker,,,,,,,,,,,,
02/12/95,Newcastle,Aston Villa,1,0,H,1,0,H,K Winter,,,,,,,,,,,,
02/12/95,QPR,Man City,2,1,H,0,0,D,S Lodge,,,,,,,,,,,,
02/12/95,Southampton,Leeds,0,0,D,0,0,D,P Jones,,,,,,,,,,,,
02/12/95,West Ham,Wimbledon,4,1,H,3,0,H,L Stevens,,,,,,,,,,,,
02/12/95,Nott'm Forest,Bolton,4,1,H,1,1,D,C Cooper,,,,,,,,,,,,
09/12/95,Aston Villa,Southampton,0,0,D,0,0,D,D Smith,,,,,,,,,,,,
09/12/95,Blackburn,Man City,3,0,H,2,0,H,N Graham,,,,,,,,,,,,
09/12/95,Bolton,QPR,0,1,A,0,0,D,S Dunn,,,,,,,,,,,,
09/12/95,Leeds,Coventry,2,2,D,1,1,D,R Styles,,,,,,,,,,,,
09/12/95,Man United,Chelsea,1,0,H,1,0,H,P Walton,,,,,,,,,,,,
09/12/95,Middlesbrough,Nott'm Forest,1,1,D,0,1,A,M Dean,,,,,,,,,,,,
09/12/95,Sheffield Weds,Arsenal,0,4,A,0,2,A,S Wicks,,,,,,,,,,,,
09/12/95,Tottenham,West Ham,2,1,H,1,1,D,M Riley,,,,,,,,,,,,
09/12/95,Wimbledon,Newcastle,1,1,D,1,1,D,P Durkin,,,,,,,,,,,,
10/12/95,Everton,Liverpool,1,1,D,1,0,H,D Elleray,,,,,,,,,,,,
16/12/99,Arsenal,Sheffield Weds,4,2,H,2,0,H,G Hall,,,,,,,,,,,,
16/12/95,Aston Villa,Bolton,3,0,H,1,0,H,R Jones,,,,,,,,,,,,
16/12/95,Chelsea,Everton,0,1,A,0,0,D,T Riley,,,,,,,,,,,,
16/12/95,Coventry,Wimbledon,3,2,H,1,0,H,J Kelly,,,,,,,,,,,,
16/12/95,Liverpool,Man United,2,0,H,1,0,H,A Baker,,,,,,,,,,,,
16/12/95,Man City,West Ham,2,1,H,0,0,D,K Winter,,,,,,,,,,,,
16/12/95,Newcastle,Leeds,2,1,H,0,1,A,S Lodge,,,,,,,,,,,,
16/12/95,QPR,Middlesbrough,1,0,H,0,0,D,P Jones,,,,,,,,,,,,
16/12/95,Southampton,Blackburn,2,2,D,0,1,A,L Stevens,,,,,,,,,,,,
16/12/95,Tottenham,Nott'm Forest,1,1,D,1,1,D,C Cooper,,,,,,,,,,,,
23/12/95,Blackburn,West Ham,4,2,H,1,0,H,D Smith,,,,,,,,,,,,
23/12/95,Bolton,Liverpool,0,1,A,0,0,D,N Graham,,,,,,,,,,,,
23/12/95,Coventry,Arsenal,1,1,D,0,0,D,S Dunn,,,,,,,,,,,,
23/12/95,Everton,Tottenham,1,1,D,1,0,H,R Styles,,,,,,,,,,,,
23/12/95,Leeds,Aston Villa,1,0,H,1,0,H,P Walton,,,,,,,,,,,,
23/12/95,Man United,Newcastle,2,0,H,0,0,D,M Dean,,,,,,,,,,,,
23/12/95,Middlesbrough,Sheffield Weds,2,0,H,1,0,H,S Wicks,,,,,,,,,,,,
23/12/95,Nott'm Forest,Man City,3,2,H,1,2,A,M Riley,,,,,,,,,,,,
23/12/95,QPR,Southampton,0,1,A,0,0,D,P Durkin,,,,,,,,,,,,
26/12/95,Chelsea,QPR,2,2,D,0,2,A,D Elleray,,,,,,,,,,,,
26/12/95,Liverpool,Newcastle,2,2,D,0,1,A,G Hall,,,,,,,,,,,,
26/12/95,Man City,Everton,0,1,A,0,1,A,R Jones,,,,,,,,,,,,
26/12/95,Southampton,Arsenal,0,4,A,0,0,D,T Riley,,,,,,,,,,,,
26/12/95,Tottenham,West Ham,2,1,H,1,0,H,J Kelly,,,,,,,,,,,,
27/12/95,Aston Villa,Blackburn,2,0,H,1,0,H,A Baker,,,,,,,,,,,,
27/12/95,Bolton,Middlesbrough,1,1,D,0,0,D,K Winter,,,,,,,,,,,,
27/12/95,Coventry,Man United,0,0,D,0,0,D,S Lodge,,,,,,,,,,,,
27/12/95,Sheffield Weds,Leeds,0,0,D,0,0,D,P Jones,,,,,,,,,,,,
27/12/95,Wimbledon,Nott'm Forest,2,2,D,2,1,H,L Stevens,,,,,,,,,,,,
30/12/95,Arsenal,Coventry,2,0,H,1,0,H,C Cooper,,,,,,,,,,,,
30/12/95,Blackburn,Aston Villa,0,0,D,0,0,D,D Smith,,,,,,,,,,,,
30/12/95,Everton,Man City,2,0,H,0,0,D,N Graham,,,,,,,,,,,,
30/12/95,Leeds,Sheffield Weds,0,0,D,0,0,D,S Dunn,,,,,,,,,,,,
30/12/95,Man United,Nott'm Forest,0,0,D,0,0,D,R Styles,,,,,,,,,,,,
30/12/95,Middlesbrough,Tottenham,1,1,D,0,0,D,P Walton,,,,,,,,,,,,
30/12/95,Newcastle,Liverpool,2,1,H,1,1,D,M Dean,,,,,,,,,,,,
30/12/95,QPR,Chelsea,1,2,A,0,1,A,S Wicks,,,,,,,,,,,,
30/12/95,Southampton,West Ham,2,1,H,2,0,H,M Riley,,,,,,,,,,,,
30/12/95,Wimbledon,Bolton,1,0,H,0,0,D,P Durkin,,,,,,,,,,,,
01/01/96,Aston Villa,Arsenal,3,1,H,2,1,H,D Elleray,,,,,,,,,,,,
01/01/96,Chelsea,Southampton,2,1,H,1,0,H,G Hall,,,,,,,,,,,,
01/01/96,Liverpool,Blackburn,0,0,D,0,0,D,R Jones,,,,,,,,,,,,
01/01/96,Man City,QPR,1,2,A,0,1,A,T Riley,,,,,,,,,,,,
01/01/96,Sheffield Weds,Everton,2,1,H,2,1,H,J Kelly,,,,,,,,,,,,
01/01/96,Tottenham,Middlesbrough,1,0,H,1,0,H,A Baker,,,,,,,,,,,,
01/01/96,West Ham,Coventry,0,2,A,0,1,A,K Winter,,,,,,,,,,,,
01/01/96,Bolton,Leeds,2,1,H,1,1,D,S Lodge,,,,,,,,,,,,
01/01/96,Newcastle,Wimbledon,1,1,D,0,0,D,P Jones,,,,,,,,,,,,
002/01/96,Nott'm Forest,Man United,1,1,D,0,0,D,L Stevens,,,,,,,,,,,,
13/01/96,Arsenal,Blackburn,2,0,H,1,0,H,C Cooper,,,,,,,,,,,,
13/01/96,Chelsea,Sheffield Weds,0,0,D,0,0,D,D Smith,,,,,,,,,,,,
13/01/96,Coventry,Nott'm Forest,0,1,A,0,0,D,N Graham,,,,,,,,,,,,
13/01/96,Everton,Tottenham,1,1,D,1,0,H,S Dunn,,,,,,,,,,,,
13/01/96,Leeds,West Ham,2,0,H,1,0,H,R Styles,,,,,,,,,,,,
13/01/96,Man United,Southampton,4,1,H,1,0,H,P Walton,,,,,,,,,,,,
13/01/96,Middlesbrough,Aston Villa,1,0,H,1,0,H,M Dean,,,,,,,,,,,,
13/01/96,QPR,Newcastle,1,2,A,1,1,D,S Wicks,,,,,,,,,,,,
13/01/96,Wimbledon,Man City,1,1,D,1,1,D,M Riley,,,,,,,,,,,,
20/01/96,Aston Villa,Leeds,0,1,A,0,1,A,P Durkin,,,,,,,,,,,,
20/01/96,Blackburn,Wimbledon,3,2,H,2,1,H,D Elleray,,,,,,,,,,,,
20/01/96,Man City,Middlesbrough,4,0,H,1,0,H,G Hall,,,,,,,,,,,,
20/01/96,Newcastle,Bolton,2,1,H,0,1,A,R Jones,,,,,,,,,,,,
20/01/96,Nott'm Forest,Coventry,1,0,H,1,0,H,T Riley,,,,,,,,,,,,
20/01/96,Sheffield Weds,QPR,2,0,H,0,0,D,J Kelly,,,,,,,,,,,,
20/01/96,Southampton,Chelsea,1,1,D,1,0,H,A Baker,,,,,,,,,,,,
20/01/96,Tottenham,Arsenal,0,0,D,0,0,D,K Winter,,,,,,,,,,,,
20/01/96,West Ham,Man United,0,0,D,0,0,D,S Lodge,,,,,,,,,,,,
03/02/96,Arsenal,Chelsea,1,1,D,0,0,D,P Jones,,,,,,,,,,,,
03/02/96,Bolton,Nott'm Forest,1,1,D,1,1,D,L Stevens,,,,,,,,,,,,
03/02/96,Coventry,Liverpool,1,0,H,1,0,H,C Cooper,,,,,,,,,,,,
03/02/96,Everton,Southampton,0,0,D,0,0,D,D Smith,,,,,,,,,,,,
03/02/96,Leeds,West Ham,2,1,H,1,1,D,N Graham,,,,,,,,,,,,
03/02/96,Man United,Middlesbrough,2,0,H,1,0,H,S Dunn,,,,,,,,,,,,
03/02/96,Newcastle,Blackburn,2,1,H,0,1,A,R Styles,,,,,,,,,,,,
03/02/96,QPR,Sheffield Weds,0,0,D,0,0,D,P Walton,,,,,,,,,,,,
03/02/96,Tottenham,Man City,2,1,H,0,1,A,M Dean,,,,,,,,,,,,
003/02/96,Wimbledon,Aston Villa,0,0,D,0,0,D,S Wicks,,,,,,,,,,,,
10/02/96,Aston Villa,Wimbledon,3,1,H,0,0,D,M Riley,,,,,,,,,,,,
10/02/96,Blackburn,Leeds,1,0,H,0,0,D,P Durkin,,,,,,,,,,,,
10/02/96,Chelsea,Middlesbrough,5,0,H,2,0,H,D Elleray,,,,,,,,,,,,
10/02/96,Liverpool,Everton,1,1,D,0,1,A,G Hall,,,,,,,,,,,,
10/02/96,Man City,Bolton,1,0,H,0,0,D,R Jones,,,,,,,,,,,,
10/02/96,Nott'm Forest,Newcastle,1,1,D,0,1,A,T Riley,,,,,,,,,,,,
10/02/96,Sheffield Weds,Southampton,1,0,H,1,0,H,J Kelly,,,,,,,,,,,,
10/02/96,Tottenham,QPR,2,1,H,1,0,H,A Baker,,,,,,,,,,,,
10/02/96,West Ham,Arsenal,1,1,D,1,0,H,K Winter,,,,,,,,,,,,
11/02/96,Man United,Coventry,1,0,H,1,0,H,S Lodge,,,,,,,,,,,,
24/02/96,Arsenal,Man City,1,0,H,1,0,H,P Jones,,,,,,,,,,,,
24/02/96,Bolton,Aston Villa,1,0,H,1,0,H,L Stevens,,,,,,,,,,,,
24/02/96,Coventry,Chelsea,1,1,D,0,0,D,C Cooper,,,,,,,,,,,,
24/02/96,Everton,Sheffield Weds,2,2,D,0,1,A,D Smith,,,,,,,,,,,,
24/02/96,Leeds,Blackburn,0,0,D,0,0,D,N Graham,,,,,,,,,,,,
24/02/96,Middlesbrough,Liverpool,1,0,H,0,0,D,S Dunn,,,,,,,,,,,,
24/02/96,Newcastle,Southampton,1,0,H,1,0,H,R Styles,,,,,,,,,,,,
24/02/96,QPR,Nott'm Forest,1,1,D,1,0,H,P Walton,,,,,,,,,,,,
24/02/96,West Ham,Man United,1,1,D,0,0,D,M Dean,,,,,,,,,,,,
25/02/96,Wimbledon,Tottenham,1,0,H,0,0,D,S Wicks,,,,,,,,,,,,
02/03/96,Aston Villa,Leeds,0,1,A,0,0,D,M Riley,,,,,,,,,,,,
02/03/96,Blackburn,Coventry,5,0,H,2,0,H,P Durkin,,,,,,,,,,,,
02/03/96,Chelsea,Bolton,1,1,D,1,0,H,D Elleray,,,,,,,,,,,,
02/03/96,Liverpool,QPR,1,0,H,1,0,H,G Hall,,,,,,,,,,,,
02/03/96,Man United,Everton,2,0,H,0,0,D,R Jones,,,,,,,,,,,,
02/03/96,Middlesbrough,West Ham,2,2,D,1,1,D,T Riley,,,,,,,,,,,,
02/03/96,Nott'm Forest,Southampton,1,0,H,0,0,D,J Kelly,,,,,,,,,,,,
02/03/96,Sheffield Weds,Newcastle,2,2,D,0,1,A,A Baker,,,,,,,,,,,,
002/03/96,Tottenham,Wimbledon,0,0,D,0,0,D,K Winter,,,,,,,,,,,,
04/03/96,Man City,Arsenal,2,3,A,2,1,H,S Lodge,,,,,,,,,,,,
09/03/96,Arsenal,QPR,1,0,H,1,0,H,P Jones,,,,,,,,,,,,
09/03/96,Aston Villa,Newcastle,4,3,H,2,1,H,L Stevens,,,,,,,,,,,,
09/03/96,Bolton,Sheffield Weds,1,1,D,0,0,D,C Cooper,,,,,,,,,,,,
09/03/96,Coventry,Chelsea,0,0,D,0,0,D,D Smith,,,,,,,,,,,,
09/03/96,Everton,Blackburn,2,0,H,0,0,D,N Graham,,,,,,,,,,,,
09/03/96,Leeds,Man City,1,0,H,1,0,H,S Dunn,,,,,,,,,,,,
09/03/96,Middlesbrough,Man United,0,3,A,0,2,A,R Styles,,,,,,,,,,,,
09/03/96,Southampton,Liverpool,3,2,H,2,1,H,P Walton,,,,,,,,,,,,
09/03/96,West Ham,Nott'm Forest,0,0,D,0,0,D,M Dean,,,,,,,,,,,,
09/03/96,Wimbledon,Coventry,0,0,D,0,0,D,S Wicks,,,,,,,,,,,,
16/03/96,Blackburn,Arsenal,1,1,D,0,1,A,M Riley,,,,,,,,,,,,
16/03/96,Chelsea,Tottenham,1,1,D,1,1,D,P Durkin,,,,,,,,,,,,
16/03/96,Liverpool,West Ham,1,1,D,0,0,D,D Elleray,,,,,,,,,,,,
16/03/96,Man City,Aston Villa,1,2,A,1,1,D,G Hall,,,,,,,,,,,,
16/03/96,Man United,QPR,1,1,D,1,0,H,R Jones,,,,,,,,,,,,
16/03/96,Newcastle,Middlesbrough,2,2,D,0,0,D,T Riley,,,,,,,,,,,,
16/03/96,Nott'm Forest,Sheffield Weds,1,0,H,1,0,H,J Kelly,,,,,,,,,,,,
16/03/96,Southampton,Bolton,1,0,H,1,0,H,A Baker,,,,,,,,,,,,
16/03/96,Wimbledon,Leeds,1,0,H,0,0,D,K Winter,,,,,,,,,,,,
17/03/96,Coventry,Everton,1,1,D,0,1,A,S Lodge,,,,,,,,,,,,
23/03/96,Arsenal,Blackburn,2,0,H,0,0,D,P Jones,,,,,,,,,,,,
23/03/96,Aston Villa,Coventry,2,2,D,1,1,D,L Stevens,,,,,,,,,,,,
23/03/96,Everton,Chelsea,1,1,D,0,0,D,C Cooper,,,,,,,,,,,,
23/03/96,Leeds,Man United,0,1,A,0,0,D,D Smith,,,,,,,,,,,,
23/03/96,Middlesbrough,Southampton,1,1,D,1,1,D,N Graham,,,,,,,,,,,,
23/03/96,QPR,Liverpool,1,2,A,1,1,D,S Dunn,,,,,,,,,,,,
23/03/96,Sheffield Weds,Wimbledon,2,1,H,0,0,D,R Styles,,,,,,,,,,,,
23/03/96,Tottenham,Man City,2,1,H,1,1,D,P Walton,,,,,,,,,,,,
23/03/96,West Ham,Newcastle,1,1,D,0,1,A,M Dean,,,,,,,,,,,,
01/04/96,Liverpool,Tottenham,2,2,D,0,0,D,S Wicks,,,,,,,,,,,,
